skill_score,cgpa_score,location_score,domain_score,cgpa_raw,num_skills,num_req_skills,min_cgpa_req,label
0.6156,0.2468,0.5,0.3,4.94,7,3,6.5,0
0.372,0.2002,0.5,0.6,4.0,5,1,7.0,0
0.8883,0.3099,1.0,0.0,6.2,4,4,6.5,1
0.2384,0.332,1.0,0.3,6.64,5,3,7.0,0
0.9066,0.9818,0.5,1.0,9.82,4,2,6.0,1
0.5455,0.7521,1.0,0.0,7.52,4,4,5.5,1
0.5129,0.8628,0.0,1.0,8.63,2,2,7.5,1
0.6814,0.8378,0.5,1.0,8.38,3,1,6.5,1
0.5838,0.8264,0.0,0.0,8.26,2,4,6.0,0
0.2032,0.3231,1.0,0.6,6.46,5,4,6.5,0
0.8089,0.337,1.0,0.6,6.74,4,4,7.0,1
0.7725,0.3281,0.5,0.0,6.56,5,1,7.0,0
0.6755,0.2505,0.0,0.3,5.01,4,1,5.5,0
0.7841,0.28,0.0,0.3,5.6,2,4,6.0,0
0.5895,0.2726,0.5,0.3,5.45,7,3,7.0,0
0.2607,0.879,0.0,0.0,8.79,4,3,5.5,0
0.539,0.7871,0.5,0.6,7.87,1,1,7.0,1
0.6067,0.8175,1.0,0.3,8.17,2,1,7.0,1
0.4487,0.2837,1.0,1.0,5.67,3,4,6.5,1
0.4743,0.2482,1.0,0.3,4.96,2,3,6.0,0
0.1983,0.9095,1.0,0.6,9.1,1,4,5.5,1
0.3306,0.3303,1.0,0.6,6.61,6,1,7.5,0
0.7816,0.9724,1.0,1.0,9.72,6,3,7.5,1
0.5256,0.5834,1.0,1.0,5.83,3,2,5.5,1
0.4664,0.242,0.5,1.0,4.84,2,2,6.5,0
0.764,0.2769,0.0,0.6,5.54,4,2,7.5,0
0.6914,0.2083,0.5,0.6,4.17,2,3,6.0,0
0.5718,0.3567,1.0,0.6,7.13,4,4,7.5,1
0.4185,0.2398,0.5,1.0,4.8,4,2,6.0,0
0.5078,0.2469,1.0,0.3,4.94,6,1,6.0,1
0.4403,0.2743,0.5,0.0,5.49,5,1,6.5,0
0.7627,0.7899,1.0,0.3,7.9,2,5,6.0,1
0.2586,0.7695,1.0,1.0,7.7,1,4,6.0,1
0.6418,0.9649,1.0,0.3,9.65,1,1,6.5,1
0.8387,0.6019,1.0,0.3,6.02,5,2,6.0,1
0.7013,0.2118,0.0,0.0,4.24,5,5,5.5,0
0.7109,0.8658,1.0,1.0,8.66,4,1,7.5,1
0.5874,0.2893,0.0,1.0,5.79,1,4,6.5,0
0.6515,0.5759,0.0,1.0,5.76,4,3,5.5,1
0.6195,0.9812,1.0,0.0,9.81,2,2,5.5,1
0.8127,0.992,0.0,1.0,9.92,1,4,7.5,1
0.5755,0.8231,0.0,0.6,8.23,2,3,6.0,0
0.7185,0.75,0.0,1.0,7.5,7,4,5.5,1
0.2912,0.7323,0.0,0.3,7.32,1,2,7.0,0
0.69,0.9492,0.0,0.3,9.49,6,4,6.0,0
0.9076,0.3081,0.0,0.6,6.16,3,1,7.0,0
0.4084,0.9515,1.0,0.0,9.52,6,2,6.0,1
0.5528,0.8497,1.0,1.0,8.5,6,3,5.5,1
0.5187,0.8877,1.0,1.0,8.88,6,3,7.5,1
0.5522,0.9724,1.0,0.6,9.72,4,1,7.5,1
